Time,accX,accY,accZ
1503530533021,0.1534729,-0.1828003,9.133377
1503530533030,0.13204956,-0.23278809,9.138138
1503530533040,0.4581604,-0.24707031,10.333084
1503530533050,0.19869995,-0.29467773,9.366653
1503530533060,0.051116943,-0.15423584,9.142899
1503530533069,0.16537476,-0.20898438,9.057205
1503530533079,0.28201294,-0.25183105,9.069107
1503530533090,0.16061401,-0.21612549,9.035782
1503530533098,0.17727661,-0.19470215,9.171463
1503530533109,0.1368103,-0.23516846,9.081009
1503530533119,0.19631958,-0.21612549,9.15004
1503530533129,0.14871216,-0.25897217,9.140518
1503530533139,0.18441772,-0.20184326,9.15004
1503530533148,0.16775513,-0.24945068,9.142899
1503530533158,0.16299438,-0.22088623,9.057205
1503530533168,0.18917847,-0.22564697,9.09053
1503530533178,0.19155884,-0.23278809,9.092911
1503530533188,0.22250366,-0.19232178,9.204788
1503530533198,0.19155884,-0.24945068,9.102432
1503530533208,0.21774292,-0.24230957,9.109573
1503530533217,0.13442993,-0.19470215,9.119095
1503530533228,0.21774292,-0.23516846,9.107193
1503530533238,0.16061401,-0.19946289,9.078629
1503530533247,0.19869995,-0.21612549,9.135757
1503530533257,0.16299438,-0.23278809,9.126236
1503530533267,0.20822144,-0.22802734,9.09053
1503530533277,0.18917847,-0.23040771,9.123856
1503530533286,0.17965698,-0.21374512,9.08815
1503530533297,0.19393921,-0.24468994,9.140518
1503530533306,0.16537476,-0.18756104,9.176224
1503530533316,0.17727661,-0.25897217,9.142899
1503530533325,0.22488403,-0.206604,9.1167145
1503530533335,0.11538696,-0.23040771,9.126236
1503530533345,0.19869995,-0.19708252,9.104813
1503530533355,0.18203735,-0.24707031,9.123856
1503530533365,0.15109253,-0.22088623,9.121475
1503530533375,0.16537476,-0.23516846,9.081009
1503530533385,0.19631958,-0.20898438,9.092911
1503530533395,0.1701355,-0.20184326,9.1167145
1503530533405,0.19393921,-0.24468994,9.092911
1503530533415,0.15585327,-0.23278809,9.104813
1503530533424,0.17489624,-0.22802734,9.147659
1503530533434,0.19155884,-0.22802734,9.09053
1503530533444,0.15585327,-0.13519287,9.08815
1503530533454,0.1701355,-0.22564697,9.171463
1503530533463,0.19155884,-0.25897217,9.159561
1503530533474,0.17727661,-0.22088623,9.15242
1503530533484,0.16537476,-0.24468994,9.073868
1503530533493,0.17251587,-0.2232666,9.08577
1503530533503,0.16299438,-0.20898438,9.104813
1503530533513,0.17251587,-0.1899414,9.09053
1503530533523,0.17489624,-0.18756104,9.123856
1503530533533,0.20584106,-0.18756104,9.15004
1503530533543,0.1867981,-0.21136475,9.1167145
1503530533552,0.15109253,-0.24707031,9.126236
1503530533562,0.22012329,-0.22088623,9.08577
1503530533572,0.17251587,-0.20898438,9.138138
1503530533582,0.20584106,-0.20184326,9.171463
1503530533591,0.14871216,-0.23516846,9.221451
1503530533601,0.16061401,-0.22088623,9.121475
1503530533611,0.18203735,-0.22802734,9.145279
1503530533621,0.18441772,-0.20898438,9.15242
1503530533631,0.19631958,-0.2232666,9.192886
1503530533641,0.15585327,-0.26135254,9.173843
1503530533651,0.20108032,-0.24230957,9.102432
1503530533660,0.1534729,-0.21612549,9.081009
1503530533670,0.19869995,-0.26611328,9.126236
1503530533680,0.17727661,-0.22802734,9.183365
1503530533690,0.19869995,-0.19708252,9.092911
1503530533700,0.1701355,-0.19946289,9.171463
1503530533710,0.18203735,-0.22088623,9.083389
1503530533720,0.20584106,-0.22564697,9.15242
1503530533729,0.18203735,-0.19708252,9.121475
1503530533739,0.19155884,-0.18756104,9.061966
1503530533749,0.17489624,-0.22564697,9.038162
1503530533759,0.18203735,-0.20422363,9.109573
1503530533769,0.16299438,-0.25421143,9.140518
1503530533779,0.14633179,-0.1828003,9.21431
1503530533788,0.20822144,-0.20898438,9.133377
1503530533798,0.19631958,-0.2232666,9.0976715
1503530533809,0.20822144,-0.2232666,9.15004
1503530533818,0.17251587,-0.2232666,9.123856
1503530533828,0.14871216,-0.23040771,9.188126
1503530533838,0.16775513,-0.2232666,9.166702
1503530533848,0.1867981,-0.1899414,9.126236
1503530533858,0.19393921,-0.21136475,9.104813
1503530533868,0.1867981,-0.21136475,9.1167145
1503530533878,0.19393921,-0.23278809,9.119095
1503530533887,0.20584106,-0.25421143,9.0976715
1503530533897,0.16537476,-0.20898438,9.08577
1503530533907,0.19869995,-0.21850586,9.083389
1503530533917,0.15823364,-0.17327881,9.09053
1503530533927,0.15585327,-0.20898438,9.08577
1503530533936,0.18917847,-0.20422363,9.164322
1503530533946,0.17489624,-0.19708252,9.104813
1503530533956,0.19393921,-0.21850586,9.126236
1503530533966,0.15109253,-0.21850586,9.121475
1503530533976,0.16775513,-0.22564697,9.076248
1503530533985,0.15823364,-0.20422363,9.142899
1503530533995,0.14633179,-0.21612549,9.107193
1503530534005,0.19155884,-0.18756104,9.138138
1503530534015,0.15823364,-0.2399292,9.123856
1503530534025,0.1701355,-0.25897217,9.138138
1503530534035,0.17727661,-0.2565918,9.111954
1503530534044,0.17965698,-0.19708252,9.081009
1503530534055,0.19155884,-0.22802734,9.164322
1503530534064,0.17965698,-0.23516846,9.100052
1503530534074,0.20584106,-0.26135254,9.114334
1503530534084,0.1534729,-0.2399292,9.126236
1503530534094,0.17727661,-0.19708252,9.109573
